NO,課程碼,主開課程碼,開課單位,科目名稱,學分,選別,期次,授課教師/專長,授課語言,週別,星期,節次,教室,週別,星期,節次,教室,週別,星期,節次,教室,是否開放大四生上修,備註,可選課年級／分發優先順序,課程人數／屬性資料,通識領域／學群,是否開放選課條,大綱
644,D740136968,,資管一,資料處理程式設計 Data Processing Programming 英-專業 網 程,3.00,選,學期,林青峰 專長： 情感分析、機器學習、程式開發、專案管理,全英文,全,五(Fri),D2-D4,SF337,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
645,D740209514,,資管二,電子商務 Electronic Commerce,3.00,選,學期,張銀益 專長： 資訊管理、電子商務、電腦網路、物流與供應鏈管理、網際網路應用,中文,全,一(Mon),D5-D7,LM503,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 100 外系： 30 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
646,D740311799,,資管三,資訊系統專案管理 Information System Project Management,2.00,選,學期,林雅文 專長： 網路經濟、專案管理、空間資訊科學,中文,全,四(Thu),D3-D4,SF339,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
647,D740311885,,資管三,自然語言處理 Natural Language Processing 英-專業 程,3.00,選,學期,王冠云 專長： 教育科技、AI應用、人機互動、計算語言學、數位轉型、電腦視覺,全英文,全,五(Fri),D2-D4,BS440,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 70 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
648,D740319663,D0E0319663,資管三,組織領導與社會創新實務 Organizational Leadership and Social Innovation Practices,2.00,選,學期,李禮孟 專長： 非營利組織管理、社會企業、政治經濟,中文,全,一(Mon),D8-E0,LM302,,,,,,,,,否,學士班5系合開，與黃凱斌老師合開,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
649,D740324498,,資管三,巨量資料概論 Introduction to Big Data,3.00,選,學期,林湘霖 專長： 決策科學、多變量分析、資料探勘、企業資源規劃、數位學習、區塊鏈應用,中文,全,一(Mon),D2-D4,ES401,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
650,D740324500,,資管三,服務科學 Service Science,3.00,選,學期,董惟鳳 專長： 創新服務、設計思考、機器人應用,中文,全,三(Wed),D2-D4,LM311,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 28 外系： 3 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
651,D740334085,,資管三,C++程式設計 C++ Programming 程,3.00,選,學期,蔡明志 專長： 雲端運算、資料挖擷與統計分析、Webdatamining,中文,全,四(Thu),DN-D6,LE401,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
652,D740335552,,資管三,空間資訊管理 Geo-Spatial Information Management 英-專業,3.00,選,學期,林雅文 專長： 網路經濟、專案管理、空間資訊科學,全英文,全,二(Tue),DN-D6,LE402,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
653,D740413587,,資管四,網路管理 Network Management,3.00,選,學期,張銀益 專長： 資訊管理、電子商務、電腦網路、物流與供應鏈管理、網際網路應用,中文,全,二(Tue),D5-D7,LM411,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
654,D740413859,,資管四,產業實習 Internship 實,4.00,選,學期,董惟鳳 專長： 創新服務、設計思考、機器人應用,中文,,,-,不需要教室,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 拒退拒加 拒退年級： 不設定,領域： 學群：,否,
655,D740435553,,資管四,新媒體科技互動應用 Interactive Technology for New Media Application 英-專業,3.00,選,學期,鄭美娟 專長： 供應鏈管理、最佳化、數據分析、行銷管理、專案管理,全英文,全,五(Fri),D5-D7,BS440,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 90 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
656,D760101846C,,統資一,英語會話 English Conversation 英-語言,2.00,選,學期,郭玉芬 專長： 英文,全英文,全,五(Fri),D7-D8,MD304,,,,,,,,,否,"與第一學期A、B組內容相同,勿重複修讀",最低年級： 一年級 最高年級： 五年級 分發優先順序： 2開課系所高年級學生優先,開放： 40 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
657,D760202249,,統資二,貨幣銀行學 Money and Banking,3.00,選,學期,陳耀東 專長： 經濟學與金融市場,中英文,全,五(Fri),D5-D7,LM409,,,,,,,,,否,,最低年級： 二年級 最高年級： 五年級 分發優先順序： 2開課系所高年級學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
658,D760301445,,統資三,多變量分析 Multivariate Statistical Analysis 英-專業,3.00,選,學期,蘇榮弘 專長： 統計實務應用、品質管理與管制、存貨管理、工業管理,全英文,全,五(Fri),D2-D4,MD303,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 80 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
659,D760301983,,統資三,財務管理 Financial Management,3.00,選,學期,韓南偉 專長： 財務工程 資產定價 公司理財,中英文,全,二(Tue),D5-D7,MD303,,,,,,,,,否,,最低年級： 三年級 最高年級： 五年級 分發優先順序： 2開課系所高年級學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
660,D760302303,,統資三,無母數統計 Nonparametric Statistics,3.00,選,學期,"王偉銘 專長： 統計諮詢, 資料庫應用研究, 多重比較程序",中英文,全,三(Wed),D2-D4,MD303,,,,,,,,,否,,最低年級： 三年級 最高年級： 五年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
661,D760309514,,統資三,電子商務 Electronic Commerce 英-專業 程,3.00,選,學期,李鍾斌 專長： 資料採礦、電子商務、機械學習,全英文,全,五(Fri),D5-D7,SF337,,,,,,,,,否,機房,最低年級： 三年級 最高年級： 五年級 分發優先順序： 2開課系所高年級學生優先,開放： 68 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
662,D760319663,D0E0319663,統資三,組織領導與社會創新實務 Organizational Leadership and Social Innovation Practices,2.00,選,學期,李禮孟 專長： 非營利組織管理、社會企業、政治經濟,中文,全,一(Mon),D8-E0,LM302,,,,,,,,,否,學士班5系合開，與黃凱斌老師合開,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
663,D760334518,,統資三,大數據產學實作專題 Big Data Industry and Education Project Implementation 程,2.00,選,學期,杜逸寧 專長： 文字探勘、資料探勘、資訊檢索、人工智慧、智慧型資訊系統,中英文,,,-,不需要教室,,,,,,,,,否,大數據跨領域微學分學程課程,最低年級： 二年級 最高年級： 五年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 拒退拒加 拒退年級： 不設定,領域： 學群：,否,
664,D760405358,,統資四,醫學統計 Medical Statistics 程,3.00,選,學期,游鎮瑋 專長： 資料庫管理，腫瘤免疫學,中英文,全,四(Thu),D5-D7,MD303,,,,,,,,,否,,最低年級： 三年級 最高年級： 五年級 分發優先順序： 2開課系所高年級學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
665,D760419199,,統資四,應用商業英文：聽讀訓練 Applied Business English: Listening & Reading 英-語言,2.00,選,學期,郭玉芬 專長： 英文,全英文,全,五(Fri),D5-D6,MD304,,,,,,,,,否,,最低年級： 一年級 最高年級： 五年級 分發優先順序： 2開課系所高年級學生優先,開放： 40 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
666,D800104093,,音樂一,副修鋼琴 Piano Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 100 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
667,D800104094,,音樂一,副修聲樂 Voice Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
668,D800104095,,音樂一,副修小提琴 Violin Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
669,D800104096,,音樂一,副修中提琴 Viola Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 8 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
670,D800104098,,音樂一,副修長笛 Flute Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
671,D800104099,,音樂一,副修豎笛 Clarinet Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
672,D800104102,,音樂一,副修作曲 Composition Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
673,D800119864,,音樂一,副修爵士音樂 Jazz Music Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
674,D800123926,,音樂一,副修應用音樂 Applied Music Minor,1.00,選,學期,個別指導教師 專長： 尚未填寫,中文,,,-,不需要教室,,,,,,,,,否,"須另繳個別指導費,限修讀一小時學生選讀,外系學生須通過上一學期鑑定考",最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
675,D800133946,,音樂一,長笛合奏 Flute Ensemble 英-專業,1.00,選,學期,胡志瑋 專長： 長笛、室內樂、管樂作品研究、樂團片段詮釋,全英文,全,四(Thu),D7-D8,AM218,,,,,,,,,否,外系學生修讀需通過測驗,最低年級： 一年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 12 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
676,D800136129,G806136129,音樂一,大提琴重奏 Cello Ensemble 英-專業,1.00,選,學期,權雋文 專長： 大提琴演奏與教學、室內樂、弦樂作品研究、,全英文,全,四(Thu),D5-D6,GM201,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 12 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
677,D800214898,,音樂二,爵士音樂理論與演奏實習 Theory and Performance Practice of Jazz Music,1.00,選,學期,李世鈞 專長： 爵士音樂、爵士吉他、小編制樂團,中文,全,五(Fri),D3-D4,AM202,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
678,D800236195,,音樂二,爵士室內合唱 Chamber Jazz Ensemble,1.00,選,學期,謝智揚 專長： 爵士音樂,中文,全,三(Wed),D7-D8,AM018,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 27 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
679,D800333168,,音樂三,電腦音樂：編曲技巧 Computer Music: Arranging Techniques,2.00,選,學期,曾俞璇 專長： 當代流行音樂、唱片製作、配樂製作、音樂及演唱會展演製作、詞曲創作,中文,全,三(Wed),D3-D4,AM220,,,,,,,,,否,,最低年級： 一年級 最高年級： 一年級 分發優先順序： 1開課單位學生優先,開放： 12 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
680,D800334346,,音樂三,音樂行為觀察與評估 Observation and Assessment of Music Behaviors,2.00,選,學期,吳佳慧 專長： 特殊需求族群音樂治療、音樂心理治療、音樂治療教育、心理諮商,中文,全,五(Fri),D1-D2,AM201,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 16 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
681,D800334347,,音樂三,音樂治療實務技巧(一) Music Therapy Clinical Techniques(I),2.00,選,學期,林歆敏 專長： 音樂治療,中文,全,一(Mon),D3-D4,AM201,,,,,,,,,否,限已修過音樂治療導論同學選修,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 10 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
682,D810102602,,應美一,圖學 Graphics,2.00,選,學年,葉映汝 專長： 環境規劃、景觀設計,中文,全,四(Thu),D3-D4,AA412B,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 3 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
683,D810104136,,應美一,電腦輔助設計 Computer Aided Design,2.00,選,學年,曾淑娟 專長： 包裝設計,中文,全,一(Mon),D3-D4,SF337,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 80 外系： 3 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
684,D810201277,,應美二,水彩畫 Watercolor Painting,2.00,選,學期,林浩白 專長： 藝術、設計,中文,全,一(Mon),D7-D8,AA309,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 不代入 拒退年級： 不設定,領域： 學群：,否,
685,D810203881,,應美二,模型製作 Manufacturings of Model,2.00,選,學年,洪寶國 專長： 金屬工藝、模型製作,中文,全,五(Fri),D5-D6,AA116,,,,,,,,,否,本系金工產品組優先代入。,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 25 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
686,D810204507,,應美二,塑造 Modeling,2.00,選,學年,陳振輝 專長： 塑造,中文,全,五(Fri),D3-D4,AA116,,,,,,,,,否,本系金工組優先代入。,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 25 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
687,D810235045,,應美二,影像意象學 Cognition of Metaphoric Imagery,2.00,選,學期,方彩欣 專長： 電腦繪圖、設計繪畫、動畫遊戲前製、角色造型、網站設計策略、數位相關研究,中文,全,四(Thu),D7-D8,AA413,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 3 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
688,D810300033,,應美三,美學 Aesthetics,2.00,選,學期,吳佩縈 專長： 視覺傳達設計、視覺敘事、美學、圖文意象,中文,全,一(Mon),D7-D8,ES317,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 90 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
689,D810301689,,應美三,油畫 Oil Painting,2.00,選,學年,林浩白 專長： 藝術、設計,中文,全,一(Mon),D1-D2,AA309,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 30 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
690,D810303365,,應美三,商業攝影 Commercial Photography,2.00,選,學年,陳郁文 專長： 商業攝影,中文,全,三(Wed),D7-D8,AA413,,,,,,,,,否,外系生須先修讀過本系「數位攝影與影像處理」課程。,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 45 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
691,D810405009,,應美四,寶石學 Gemology,2.00,選,學年,朱倖誼 專長： 寶石學,中文,全,一(Mon),D7-D8,AA413,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 45 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
692,D810418156,,應美四,設計與行銷 Design and Marketing,2.00,選,學期,陳永洧 專長： 動畫導演 、多媒體製作、商業影片攝製,中文,全,四(Thu),D3-D4,AA413,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 5 屬性： 不代入 拒退年級： 不設定,領域： 學群：,否,
693,D820103673,,景觀一,設計表現法 Method of Designing Presentation,2.00,選,學期,劉慧敏 專長： 景觀基本設計,中英文,全,四(Thu),D3-D4,AL110,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 75 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
694,D820118360,,景觀一,環境美學 Environment esthetics,2.00,選,學期,郭廣賢 專長： 藝術史與藝術理論、文化資產實務,中文,全,五(Fri),D5-D6,ES317,,,,,,,,,否,請利用預選或網路選課,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 176 外系： 136 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
695,D820220502,,景觀二,景觀建築發展與思潮 History and Development of L. A.,2.00,選,學期,黃文珊 專長： 文化現象影響都市景觀之研究、環境藝術與當代景觀建築設計之關係與執行應用,中文,全,一(Mon),D5-D6,AL114A,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
696,D820224617,,景觀二,東方園林藝術 Art of Oriental Garden,2.00,選,學期,郭廣賢 專長： 藝術史與藝術理論、文化資產實務,中文,全,五(Fri),D7-D8,ES517,,,,,,,,,否,,最低年級： 一年級 最高年級： 七年級 分發優先順序： 2開課系所高年級學生優先,開放： 176 外系： 110 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
697,D820236934,,景觀二,閱讀自然地景 Perspective of Natural Landscape,2.00,選,學期,董聿馨 專長： 環境行為知覺 健康景觀與循證設計 景觀美學與視覺評估 AI 大數據應用,中文,全,四(Thu),D3-D4,AL114A,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
698,D820236981,,景觀二,數位景觀模擬(二) Advanced Digital Landscape Simulation & Visualization II,2.00,選,學期,賴德峻 專長： 景觀設計、電腦輔助繪圖,中文,全,五(Fri),D5-D6,LE401,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 32 外系： 1 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
699,D820313056,,景觀三,植栽維護管理 Landscape Management,2.00,選,學期,"張柏青 專長： 植物,園藝,景觀",中文,全,一(Mon),D7-D8,AL106,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
700,D820330471,,景觀三,鄉村旅遊規劃與文創產業 Rural Tourism Planning and  Cultural Creativity Industry,2.00,選,學期,葉美秀 專長： 景觀設計、植栽設計、農村規劃與休閒農業,中文,全,三(Wed),D7-D8,AL114,,,,,,,,,否,,最低年級： 一年級 最高年級： 七年級 分發優先順序： 2開課系所高年級學生優先,開放： 60 外系： 3 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
701,D820330474,,景觀三,都市土地使用計畫 Urban Land Use Planning,2.00,選,學期,陳玉雯 專長： 都市計畫、都市規劃、土地使用計畫,中文,全,二(Tue),D7-D8,AL114A,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
702,D820335531,,景觀三,生態設計 Ecological Design,2.00,選,學期,賴榮一 專長： 濕地規劃設計與維護管理、景觀規劃設計、景觀規劃設計,中文,全,五(Fri),D5-D6,AL114A,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 70 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
703,D820335548,,景觀三,景觀數位技術應用 Landscape Architecture and Digital Technologies,2.00,選,學期,邱浩瑋 專長： 都市永續與自然解方、景觀生態與GIS分析、環境與生態規劃、景觀規劃設計,中文,全,五(Fri),D7-D8,AL110,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 28 外系： 2 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
704,D820431688,,景觀四,營建材料及施工估價 Landscape Construction: Material and Cost Estimate,2.00,選,學期,鄭文隆 專長： 景觀建築、苗圃學、景觀植物學、景觀工程,中文,全,一(Mon),D5-D6,LE201,,,,,,,,,否,,最低年級： 一年級 最高年級： 七年級 分發優先順序： 2開課系所高年級學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
705,D850101877,,食科一,食物學原理 Food Fundamentals,2.00,選,學期,楊珺堯 專長： 食品工程、生化工程、酵素動力學、微生物發酵、生物技術、風險管理,中文,全,一(Mon),D3-D4,NF256,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
706,D850104312,,食科一,套裝軟體與程式設計 Software Packages & Programming Design 程,2.00,選,學期,楊志田 專長： 數值分析、電腦應用軟體,中文,全,五(Fri),D3-D4,SF338,,,,,,,,,否,學生基本能力-資訊類,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
707,D850115075,,食科一,烘焙學與實習 Baking Technology and Lab.,3.00,選,學期,詹益淵 專長： 烘焙學與實習,中文,全,二(Tue),D5-D7,NF453,,,,,,,,,否,依實際上課需要在NF256(一般教室)或NF453(烘焙教室)上課,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 拒退可加 拒退年級： 不設定,領域： 學群：,否,
708,D850201588,,食科二,乳品學 Dairy Science,2.00,選,學期,郭孟怡 專長： 食品物理化學、食品分析、食品流變學,中文,全,一(Mon),D5-D6,EP003,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 65 外系： 0 屬性： 拒退可加 拒退年級： 不設定,領域： 學群：,否,
709,D850233432,,食科二,"保健食品之新產品企劃、開發與管理概論 New Product Planning, Development & Management for Health Food",2.00,選,學期,施宗偉 專長： 微生物學、生物技術、功能性食品,中文,全,五(Fri),D5-D6,NF256,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
710,D850301901,,食科三,食品添加物 Food Additives,2.00,選,學期,許庭禎 專長： 食品添加物,中文,全,四(Thu),D5-D6,NF256,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 90 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
711,D850302152,,食科三,專題研究 Special Topics,1.00,選,學年,楊珺堯 專長： 食品工程、生化工程、酵素動力學、微生物發酵、生物技術、風險管理,中文,,,-,不需要教室,,,,,,,,,否,大三同學至老師實驗室擔任論文生,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 60 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
712,D850323785,,食科三,食品業新創法規與實務 Theories and practices of food startups with law,2.00,選,學期,許家華 專長： 食品法規,中文,全,四(Thu),D3-D4,EP003,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 70 外系： 0 屬性： 拒退可加 拒退年級： 不設定,領域： 學群：,否,
713,D850333431,,食科三,新產品開發(含實作) New Product Development,2.00,選,學期,陳奕鳴 專長： 功能性運動食品研發、奈米氣泡水、實驗動物模式、食品與健康促進,中文,全,一(Mon),D7-D8,EP003,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 拒退可加 拒退年級： 不設定,領域： 學群：,否,
714,D850401898,,食科四,食品毒物學 Food Toxicology,3.00,選,學期,蕭錫延 專長： 食品毒物學,中文,全,一(Mon),D5-D7,NF256,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
715,D860102241,,營養一,組織學 Histology,2.00,選,學期,鍾敦輝 專長： 解剖學、組織學、細胞生物學,中文,全,四(Thu),D1-D2,NF356,,,,,,,,,否,由醫學系教師群進行主題性授課,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 80 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
